,YGE5,YNE3,GZE15,YGE15,YNE29,GZE10,YNE2,YNE24,GZE4,YNE28,GZE11,YNE23,GZE16,YNE18,YNE6,SCE5,SCE28,YNE25,SCE20,YGE29,SCE4,GZE19,YGE8,SCE29,YGE17,YNE30,GZE28,YNE22,YGE27,YGE10,YGE12,SCE15,SCE21,YGE16,YNE1,YNE20,SCE12,SCE13,YGE30,GZE2,SCE18,YGE28,GZE14,GZE25,SCE10,YGE24,YNE17,YGE18,GZE22,GZE13,GZE9,SCE22,SCE16,SCE2,GZE3,YGE4,YNE4,YNE5,YGE19,YNE26,YGE21,SCE1,YGE25,YNE21,SCE25,YGE20,SCE8,YGE13,YGE14,GZE21,GZE18,GZE26,SCE9,YNE8,YNE10,YGE2,YNE7,SCE23,GZE23,SCE14,YGE11,YGE22,YGE6,YNE19,YNE11,YNE16,YGE26,GZE27,YGE1,GZE17,SCE27,SCE19,YNE14,YGE3,YNE9,GZE12,GZE20,YNE27,YNE15,YGE23,SCE26,YGE9,YGE7,GZE7,GZE24,SCE24,GZE8,GZE5,GZE6,SCE11,GZE1
d__Bacteria;k__unclassified_d__Bacteria;p__Proteobacteria,0.325846432,0.01726281,0.41662132,0.298416519,0.575471584,0.425884275,0.214290099,0.513578273,0.397130292,0.348356385,0.519481138,0.451405472,0.382706818,0.35944642,0.064466165,0.162289402,0.574168915,0.275366257,0.426384972,0.441795036,0.150870088,0.3880868,0.441227701,0.419201093,0.397281655,0.571248375,0.410228974,0.421208588,0.34258252,0.371661929,0.099313804,0.243384051,0.37543672,0.311348615,0.2812782,0.542673499,0.220552825,0.33764478,0.281709455,0.377400482,0.463257408,0.38357352,0.399116995,0.377146719,0.138257177,0.328390458,0.608642841,0.364472133,0.494084334,0.278548675,0.520487218,0.644068006,0.19545188,0.264866266,0.477936315,0.136218366,0.236246807,0.251757644,0.338712691,0.69323254,0.37958325,0.389860946,0.430443156,0.547647443,0.378662488,0.299152742,0.307129631,0.345927586,0.327788248,0.257107817,0.35156803,0.391208255,0.144152438,0.402266691,0.393266827,0.173695078,0.502958467,0.537433057,0.341743875,0.379927272,0.25442758,0.423035138,0.360842181,0.690328604,0.476142382,0.382641814,0.226666932,0.402774069,0.436567352,0.37781944,0.40337828,0.116880056,0.320549236,0.364308199,0.430312373,0.398344263,0.447490923,0.44894563,0.378659535,0.478918413,0.467189502,0.606406525,0.374720581,0.527763573,0.523737334,0.317393146,0.370838376,0.460350929,0.35829332,0.414672251,0.298664391
d__Bacteria;k__unclassified_d__Bacteria;p__Actinobacteria,0.466722813,0.01451838,0.313765031,0.444403324,0.192124937,0.228204407,0.615755331,0.174370994,0.257948852,0.583803975,0.229623058,0.473820608,0.443290221,0.561351551,0.016121426,0.534731874,0.321896438,0.649713531,0.42511712,0.410363146,0.41060969,0.458375002,0.308698061,0.282992151,0.467775949,0.237894217,0.12350477,0.19113364,0.374158471,0.376323686,0.689130113,0.369662091,0.097962973,0.257961146,0.589905735,0.138638074,0.525443651,0.247384172,0.327777332,0.233745555,0.126122262,0.354773946,0.230528506,0.351537189,0.710047005,0.472809787,0.368228974,0.423347667,0.223049025,0.488790201,0.266855621,0.05268053,0.663354923,0.384667039,0.19392314,0.63401918,0.67821566,0.683862636,0.482170129,0.117600165,0.48130548,0.268792343,0.418049725,0.408118106,0.205282748,0.385775661,0.260648415,0.462344,0.336426948,0.23381737,0.250621068,0.324556051,0.626347837,0.491140589,0.473693518,0.632949045,0.429248661,0.320785019,0.294146922,0.4222195,0.312792531,0.431094031,0.376388614,0.083740458,0.470572892,0.55208667,0.365824598,0.31016635,0.411881138,0.391271897,0.425513431,0.174485554,0.479305854,0.457830512,0.238588319,0.24446851,0.19655673,0.220640217,0.436174495,0.317255861,0.316840729,0.270556558,0.409870255,0.214715813,0.282919621,0.373171616,0.175308868,0.241553024,0.31357124,0.124206767,0.212212752
d__Bacteria;k__unclassified_d__Bacteria;p__Firmicutes,0.016151972,0.878329898,0.009218655,0.056736059,0.07993794,0.033784507,0.003412393,0.210320052,0.023187537,0.003054291,0.008845716,0.002854255,0.017046314,0.003820826,0.751612271,0.166760805,0.021832516,0.006442021,0.028995725,0.028303827,0.391289694,0.021284205,0.048819945,0.032280842,0.02172319,0.09293719,0.013913424,0.27215178,0.038992217,0.004488759,0.053923139,0.132305172,0.508872121,0.05586519,0.04529647,0.225501182,0.029542858,0.014732414,0.155476256,0.02237467,0.00805844,0.026160691,0.043112733,0.010681199,0.069544933,0.077781394,0.002165325,0.024023376,0.017297013,0.01369427,0.021029871,0.257150778,0.044209851,0.129628516,0.008348421,0.137912763,0.00330655,0.003638287,0.041172546,0.113716446,0.011642696,0.044175343,0.04769929,0.004775803,0.135640031,0.013730735,0.034590478,0.02631397,0.013156739,0.023594747,0.004233949,0.014838217,0.180850852,0.003564461,0.006824814,0.109281666,0.00501292,0.023752641,0.051368787,0.037119282,0.240369278,0.035521828,0.041348957,0.138616741,0.009880681,0.004427697,0.166917065,0.012896436,0.044741966,0.021831364,0.096873132,0.675854141,0.06986358,0.04617502,0.012030226,0.029046852,0.019305483,0.203158416,0.014365323,0.030195375,0.03401276,0.009992812,0.030065443,0.002668763,0.008546013,0.043040335,0.034953424,0.008531033,0.012497475,0.010987417,0.019297957
d__Bacteria;k__unclassified_d__Bacteria;p__Bacteroidota,0.139033965,0.023052657,0.044172722,0.027068375,0.038996545,0.014853937,0.005018827,0.07439094,0.022181827,0.004076034,0.073895809,0.006605495,0.051174549,0.004208191,0.046630776,0.128273401,0.033083605,0.005344852,0.06941349,0.010920994,0.042255749,0.081923071,0.029597784,0.086645977,0.084257759,0.03054373,0.061279631,0.06182121,0.0544801,0.111014874,0.015544338,0.224603632,0.008741923,0.044287092,0.004983965,0.055504524,0.200142147,0.067121554,0.028615786,0.082041987,0.121923674,0.064408026,0.020998145,0.0247874,0.031962688,0.019607326,0.00081592,0.019237793,0.023752905,0.02969239,0.011399876,0.038992992,0.068136597,0.2180914,0.096053193,0.064656106,0.003813102,0.003480849,0.034618863,0.022892857,0.009713136,0.101910823,0.01747306,0.00441694,0.106549997,0.019086632,0.036722567,0.015078533,0.1358925,0.049923579,0.040900349,0.041513561,0.043333164,0.007964463,0.003914822,0.054862229,0.004609926,0.05701248,0.049785963,0.047659157,0.036961477,0.010793836,0.055669579,0.063051557,0.006187163,0.003719804,0.00806913,0.02108041,0.032617989,0.025523237,0.050426182,0.022310979,0.028021888,0.100489272,0.003401304,0.019097041,0.198893096,0.09246452,0.003246957,0.018175972,0.032721202,0.040869328,0.090267671,0.209476768,0.082699288,0.061734714,0.022268033,0.060617631,0.031307787,0.201162503,0.065753298
d__Bacteria;k__unclassified_d__Bacteria;p__Cyanobacteria,0.012341872,7.22E-06,0.030366079,0.099566393,0.017069031,0.063679814,0.106464618,0.003728108,0.030264983,0.001835699,0.096724077,0.027553269,0.007572184,0.00115153,0.001220292,1.13E-05,0.01557726,0.002671144,0.008559424,0.004192936,0.000140862,0.008105571,0.022457618,0.051201017,0.008866402,0.013943553,0.263163916,0.018022376,0.119529649,0.090946065,0.107504305,9.99E-05,8.78E-06,0.269083936,0.011928892,0.002332476,0.001939465,0.219383211,0.107739139,0.143310772,0.187788084,0.057621963,0.079786184,0.065331761,0.006238585,0.001108189,0.000209518,0.060299172,0.046005858,0.019600413,0.001723965,0.000241028,0.000245582,0.000152957,0.004541887,8.96E-05,0.023664367,0.016922093,0.001586525,0.002506706,0.005701567,0.155880442,0.011306098,0.000407651,0.093157947,0.236443649,0.230125435,0.077936482,0.104316614,0.311946296,0.264080886,0.038046942,8.68E-06,0.024414643,0.002914011,0.000209273,0.000860447,0.005383113,0.095474548,0.027268566,0.088813384,0.002237681,0.076199904,0.001864439,0.000715749,0.000196487,0.181741977,0.006259719,0.000757973,0.007543683,0.000378135,1.96E-05,0.002213658,0.000497897,0.001429776,0.034763871,0.049785966,0.002626751,0.001905239,0.051372228,0.006253316,0.011298043,0.01624195,0.026522473,0.009235269,0.067675724,0.020530211,0.017523664,0.028429133,0.201819753,0.326089102
d__Archaea;k__unclassified_d__Archaea;p__Thaumarchaeota,0.001060931,7.14E-07,0.101314512,0.031057674,0.039188359,0.111909926,0.003161708,0.001879891,0.165436078,0.001488869,0.03780087,0.002156075,0.036246784,0.004842061,0.000692681,5.50E-05,0.006519696,0.000266602,0.016993769,0.03347693,1.84E-07,0.015568717,0.066858726,0.058385294,0.002011188,0.012982647,0.072292603,0.006895253,0.014133051,0.020837558,0.01084103,1.42E-06,2.51E-07,0.003622247,0.000923214,0.001673612,0.000104287,0.050663654,0.038577208,0.080339566,0.025125047,0.055614282,0.111148075,0.108069553,0.006924932,0.041820948,0.000335967,0.026480501,0.130400743,0.134628744,0.107741564,6.19E-07,0.007075113,6.14E-07,0.090887182,0.000111473,0.004596862,0.004371356,0.041276337,0.005360015,0.051627712,4.16E-05,0.027629614,0.000845659,0.008430986,0.012393426,0.065544478,0.025706104,0.035941309,0.068022491,0.035878377,0.097838221,7.16E-07,0.009861676,0.016635986,2.24E-05,0.000982979,0.012826733,0.098063942,0.053672706,0.014230337,0.029024987,0.040046532,0.001085973,0.003482757,0.001090102,0.010919692,0.092442783,0.016201226,0.094949109,0.008249857,1.75E-07,0.00228478,0.000612888,0.006227346,0.147405628,0.043147719,0.00317463,0.009897403,0.02947691,0.099905527,0.001003638,0.008727373,0.009726334,0.063197729,0.079755779,0.237947823,0.123087356,0.164195919,0.001581934,0.034273435
d__Bacteria;k__unclassified_d__Bacteria;p__Chloroflexi,0.003582689,1.07E-05,0.00471069,0.016709017,0.00306417,0.030604868,0.007663815,0.003511526,0.023606062,0.011668799,0.004459033,0.010621806,0.004854268,0.007912808,0.00050447,0.000101652,0.00398373,0.014242684,0.003118462,0.027632232,1.99E-05,0.003459715,0.03646759,0.005333637,0.003499585,0.004920554,0.006009522,0.003399109,0.02113669,0.011610282,0.001337913,0.017429296,1.91E-05,0.006328103,0.012893754,0.005499354,0.000661174,0.004391596,0.029091467,0.013183435,0.001753831,0.027425631,0.019549025,0.014372662,0.001167814,0.025031003,0.011292734,0.028705195,0.014484907,0.010435534,0.010619292,0.000104579,0.001069202,3.16E-05,0.003893046,0.000396846,0.008507685,0.008339278,0.023510223,0.000876495,0.019369648,0.002431986,0.023726576,0.00378378,0.001688666,0.011555943,0.005358469,0.021330045,0.026594236,0.012384072,0.008154025,0.003489218,0.000147614,0.010528575,0.024148104,0.000361098,0.031166695,0.007455903,0.020007933,0.005339704,0.01566272,0.032927416,0.023171464,0.001410103,0.005170924,0.016574928,0.008218374,0.007924789,0.009735105,0.009174149,0.001687378,4.25E-05,0.035116261,0.000447588,0.06127373,0.020806649,0.010827105,0.006915062,0.071415154,0.024042774,0.009198794,0.006222888,0.011516803,0.000962785,0.006736,0.007967047,0.030471674,0.004194282,0.039271673,0.002958383,0.009182698
d__Bacteria;k__unclassified_d__Bacteria;p__Acidobacteria,0.001500335,0,0.017738442,0.010245711,0.010564346,0.032686695,0.009045144,0.001059793,0.034912485,0.023290729,0.007562459,0.004721592,0.012129736,0.009395359,0.001421874,0.001345168,0.00257782,0.006031864,0.004977599,0.019325016,3.82E-05,0.006658899,0.020538504,0.00563923,0.002432115,0.005441169,0.015515066,0.001587313,0.004587449,0.003889571,0.002311366,0.001878692,3.24E-05,0.002702005,0.008076384,0.000644437,0.001228385,0.00198257,0.006889534,0.015248365,0.001624034,0.010317249,0.020879734,0.014951078,0.002822949,0.007739734,0.001589382,0.015228363,0.010636248,0.00834388,0.017394099,3.34E-05,0.001162758,8.09E-05,0.02167747,0.00210945,0.008838739,0.011305995,0.009608114,0.001248947,0.017379108,0.001162046,0.012014757,0.001838765,0.001584613,0.008017185,0.005341731,0.011860588,0.006303371,0.00737235,0.012174273,0.015154597,0.000468696,0.009689202,0.015510575,0.001538396,0.009677305,0.008223603,0.014731856,0.004830918,0.004512195,0.01468005,0.009260118,0.001901839,0.00220985,0.00317879,0.009499386,0.023059644,0.007116326,0.017033262,0.002827206,5.18E-05,0.010010357,0.002769375,0.064284079,0.023093457,0.009931763,0.001474667,0.021977334,0.014786088,0.008841609,0.013955421,0.013882944,0.002293191,0.006766548,0.020507149,0.038232066,0.017113354,0.019513465,0.003058104,0.006414831
d__Bacteria;k__unclassified_d__Bacteria;p__Nitrospirae,0.000651398,1.03E-06,0.014713571,0.001821265,0.006766912,0.011935363,0.005760652,0.000511063,0.008370501,0.000915506,0.012206174,0.007182973,0.014595443,0.000764165,7.30E-05,2.24E-05,0.000435661,0.000838257,0.005008869,0.008331417,0,0.007131414,0.006151801,0.028875666,0.002108001,0.00257035,0.016945103,0.001779934,0.003446655,0.00520939,0.001949718,4.27E-06,1.25E-07,0.000609323,0.003335369,0.000248878,0.000155914,0.014883639,0.003463934,0.007855914,0.001580505,0.007381776,0.036662175,0.01989686,0.006841517,0.009478242,0.000520564,0.026443146,0.023967533,0.004463711,0.022958374,1.24E-06,0.0021785,9.21E-07,0.013718354,0.000195079,0.004836178,0.005055226,0.006995537,0.00111618,0.007291385,3.52E-05,0.001793288,0.001920079,0.00042856,0.005929029,0.018751504,0.002244207,0.00790441,0.002452839,0.020692257,0.009830375,4.47E-07,0.003733102,0.001864967,9.21E-05,0.000588154,0.008582887,0.004067444,0.00503171,0.002971354,0.007831882,0.00290727,0.000926679,0.004528211,0.000885539,0.008198475,0.015692496,0.004881921,0.027802336,0.002310827,0,0.00298266,0.00025354,0.001429776,0.044741167,0.008716782,0.000607617,0.001627951,0.020553655,0.009338562,0.00115611,0.01912888,0.002774583,0.005724072,0.016604362,0.023161568,0.014303869,0.014389384,0.000185843,0.002643457
d__Bacteria;k__unclassified_d__Bacteria;p__Deinococcus-Thermus,0.027658398,0,0.001243025,0.00025352,0.004059661,0.003447399,0.000854377,0.001641052,0.0069775,0.000148418,0.00087391,0.000205904,0.000341223,7.40E-05,0,0.001888318,0.01264939,0.000171753,0.002063813,0.000707898,0.000117999,0.001202324,0.000181717,0.020844841,0.005106684,0.003772227,0.000292737,0.00725153,0.012886342,0.000488058,0.000415053,0.00538966,3.39E-06,0.041450323,0.00095445,0.000295768,0.016473236,0.034639773,0.010137407,0.00696111,0.058215145,0.000273775,0.001466036,0.001335556,0.017640138,8.80E-05,7.11E-05,0.000195076,0.002877958,0.002063866,0.000233758,1.36E-05,0.005857225,0.00018901,0.000148307,0.002173361,0.000813675,0.000265676,0.000121584,0.000370102,0.001023582,0.029957458,0.000110897,6.72E-05,0.062451556,0.000315445,0.028066578,0.000259279,0.000359946,0.021941846,0.001492567,0.0018802,4.66E-05,0.000233798,0.000148715,0.00273248,0.000220558,0.007044416,0.013246322,0.010653884,0.020711592,0.000243226,0.000219759,6.65E-05,0.000179459,0.000600229,0.000883027,0.000109957,0.000546028,0.000488696,0.000390333,8.93E-06,0.000120018,0.001119569,5.59E-05,0.001302821,0.003802114,0.001878323,0.00011181,0.000146869,0.007161807,0.002494852,0.014941168,0.000103986,0.002323614,0.000627614,0.005290856,0.000723742,0.001705437,0.030173091,0.013064087
d__Bacteria;k__unclassified_d__Bacteria;p__Verrucomicrobia,0.000377734,5.55E-05,0.008317062,0.001952396,0.003722166,0.003561196,0.003376581,0.000730213,0.003254501,0.010639245,0.001033841,0.000376307,0.019520923,0.005708349,0.001615228,1.94E-05,0.000407124,0.017470103,0.001188256,0.001113276,2.21E-06,0.001114941,0.002340166,0.000911084,0.000213831,0.002620924,0.004088225,0.001022485,0.000675209,0.000565964,0.000538725,0.000123309,5.27E-06,0.000193482,0.021501159,0.00120351,0.000129757,0.000458214,0.001087271,0.002565103,0.000201026,0.001219311,0.003636897,0.001199076,0.000471223,0.000882447,0.000444879,0.000701443,0.001165817,0.00089931,0.002249921,7.12E-06,0.000596414,1.53E-06,0.007582171,2.64E-05,0.00903418,0.000821628,0.00117136,0.000489357,0.001289277,0.000602602,0.001219868,0.002410127,0.000114635,0.000326552,0.000512622,0.001227255,0.00066518,0.001599878,0.001225441,0.007416849,2.20E-05,0.004066552,0.014280661,2.05E-05,0.001805305,0.000896674,0.000677284,0.000558134,0.001393114,0.001135055,0.001094762,0.004458863,0.002468605,0.018728215,0.003380378,0.035461271,0.009544713,0.00689505,0.000563815,1.10E-05,0.024145764,4.83E-05,0.116917715,0.004815489,0.001603492,0.001407249,0.020125764,0.00116304,0.000768723,0.002690888,0.000818043,0.000570698,0.001206676,0.001334442,0.002933892,0.007060754,0.00307678,0.000368665,0.001757164
